ID_author;sent_neg;sent_neu;sent_pos;sent_compound
600;111;8,54E+15;35;-9312
601;1,37E+16;69;173;9315
604;142;77;8,80E+15;-9896
605;157;754;9;-9383
606;48;763;189;9966
607;214;7,39E+15;47;-979
608;77;764;159;943
609;86;762;151;9564
610;0;962;38;4696
611;258;701;42;-9798
612;16;767;73;-9488
613;7,20E+15;878;5;-7791
614;136;7,98E+15;66;-9968
615;96;904;0;-5028
616;105;755;14;9499
617;128;6,81E+15;191;9252
618;79;7,71E+15;15;9576
619;115;885;0;-5459
620;185;815;0;-8944
621;98;767;135;9227
622;53;754;193;9185
623;5,40E+16;7,76E+15;17;9799
624;79;892;29;-9556
625;124;52;3,56E+16;9681
626;159;708;133;-9331
627;125;74;135;-6204
628;116;865;19;-8025
629;66;8,29E+15;105;8749
630;8;845;75;-3641
631;175;6,68E+15;157;-7077
632;0;856;1,44E+16;4019
633;152;731;117;-906
634;65;9;35;-4606
635;103;8,27E+15;69;-93
636;1;88;2;-9709
637;168;755;77;-9831
638;24;715;45;-9983
639;188;7,17E+15;95;-8087
640;0;929;71;6289
641;0;971;29;772
642;3;752;218;9517
643;67;767;166;918
644;96;757;146;2263
645;193;743;63;-9961
646;58;894;48;-2748
647;1,67E+16;7,34E+15;99;-9981
648;334;574;91;-9553
649;46;833;121;9427
650;3;913;56;2523
651;255;69;55;-9788
652;139;738;122;-5684
653;233;767;0;-9778
654;228;652;12;-8411
655;159;674;1,67E+16;-303
656;96;845;59;-7385
657;125;7,56E+15;119;1898
658;219;7;81;-9924
659;0;10;0;0
662;9;695;215;9603
663;47;953;0;-5931
664;149;6,92E+15;159;8912
665;187;602;21;1926
666;165;6,86E+15;149;-1128
667;199;733;67;-9968
668;199;768;33;-9887
669;161;698;141;-3968
670;81;865;5,40E+16;-7089
671;226;753;21;-973
672;1,43E+16;8,19E+15;38;-959
673;8,20E+15;731;187;8791
674;179;693;128;-9834
675;151;77;78;-9703
676;179;701;12;-9174
677;102;815;83;-3839
678;71;799;13;8114
679;114;8,17E+15;69;-5539
680;136;7,14E+15;15;-123
681;102;838;6;-9906
682;121;6,86E+15;193;9467
683;56;846;98;-3197
684;138;763;99;-9175
685;113;675;212;9501
686;2,16E+16;615;168;-9776
687;25;6,86E+15;289;9774
688;51;8,14E+15;135;8757
689;17;775;5,40E+16;-9936
690;121;716;163;8987
691;0;10;0;0
694;0;10;0;0
695;97;826;77;-1877
696;133;787;8;-996
697;162;736;102;-8745
698;8,20E+15;78;138;8578
699;127;7,86E+15;87;-5284
700;233;754;13;-989
701;8,80E+15;89;22;-8095
704;197;753;49;-8492
705;312;474;214;-5994
706;163;746;91;-7707
707;115;812;7,40E+15;-9287
708;1,48E+16;7,86E+15;66;-8702
709;92;8,37E+15;7,20E+15;-5223
710;102;816;8,20E+15;-7717
711;187;74;73;-9586
712;321;649;3;-9801
713;67;747;187;7135
714;157;7,76E+15;67;-8906
715;28;6,73E+15;47;-9883
716;126;7,71E+15;102;-2263
719;155;701;1,44E+16;0
720;179;821;0;-4696
721;142;736;123;-8852
722;159;727;113;-917
723;84;718;198;9248
724;84;784;132;9024
725;1;76;14;6137
726;141;701;158;7405
727;78;82;102;9062
728;187;721;92;-9611
729;81;872;47;-9088
730;8,90E+15;75;161;9874
731;209;748;43;-9545
732;62;8,54E+15;84;7976
733;155;706;139;-8534
734;1,48E+16;82;32;-9589
735;108;7,81E+15;111;-2075
736;66;72;215;9567
739;179;7,12E+15;109;-961
740;171;67;158;-5139
741;158;767;75;-9939
742;188;747;65;-9429
743;29;818;154;9645
744;147;6,92E+15;161;8643
745;55;7,61E+15;183;966
746;139;768;93;-634
747;139;779;8,20E+15;-8918
748;145;696;159;6762
749;106;773;121;3701
750;5;882;68;1531
751;132;732;135;-3813
752;58;82;122;9577
753;255;711;34;-9799
754;94;703;203;9967
755;119;785;97;-3071
756;149;757;94;-9835
757;149;7,56E+15;94;-9791
758;7;7,81E+15;149;9315
761;124;7,93E+15;8,20E+15;-4677
762;87;747;166;9143
763;121;723;156;8931
764;348;474;179;-9585
765;24;95;25;225
766;0;848;152;8716
767;241;636;123;-3818
768;177;616;207;9292
769;53;795;152;9567
770;109;835;55;-9117
771;154;846;0;-6577
772;195;7,51E+15;5,40E+16;-9807
773;87;71;203;7278
774;125;7,93E+15;8,20E+15;-9159
775;139;7,81E+15;8;-9291
776;0;775;225;7269
777;0;6,58E+15;342;8875
778;79;8,91E+15;31;-4137
779;56;799;145;9277
780;91;794;115;9672
781;64;789;147;8188
782;156;757;8,80E+15;-6496
783;156;802;42;-6254
784;15;8;5;-9579
785;193;736;71;-9776
786;1;833;68;-6318
787;157;604;238;946
788;104;696;199;6356
789;134;7,49E+15;116;-9367
790;146;8,08E+15;46;-8645
791;187;777;3,60E+16;-9589
792;15;741;108;-8128
793;161;679;159;-5023
794;58;836;106;5803
795;1;784;116;7905
796;81;764;155;9436
797;15;7,83E+15;66;-952
798;158;7,24E+15;119;-9441
799;23;8,01E+15;1,76E+16;959
800;135;74;124;-3782
801;1,76E+16;738;86;-8933
802;7;8,06E+15;124;8858
803;19;6,89E+15;121;-9819
804;67;847;86;4619
805;222;691;86;-9839
806;0;907;93;5859
807;132;809;58;-9038
808;73;8,19E+15;109;7144
809;142;794;64;-774
810;129;8,44E+15;26;-8299
811;185;664;151;-9346
812;123;835;42;-9859
813;122;7,09E+15;1,69E+16;901
814;13;6,51E+15;22;9347
815;0;10;0;0
816;33;6,97E+15;27;952
817;98;746;156;875
818;174;826;0;-5719
819;108;836;57;-9257
820;249;631;12;-9763
821;3;628;7,20E+15;-9734
822;86;807;107;4618
823;135;733;132;1455
824;306;5,82E+15;112;-9969
827;0;7,34E+15;266;8685
828;129;765;105;-8433
829;0;10;0;0
830;13;816;171;9583
831;31;831;138;7184
832;1,69E+16;682;1,48E+16;-5251
833;0;907;93;3939
834;19;657;153;-8708
835;174;698;128;-6436
836;86;7,93E+15;121;899
837;131;7,04E+15;165;8819
838;159;72;121;-6809
839;235;6,83E+15;8,20E+15;-9918
840;123;725;152;8683
841;45;8,64E+15;9;5104
842;135;8,27E+15;38;-9245
843;86;843;71;-8,01E+15
844;243;685;7,20E+15;-9827
845;99;855;45;-9224
846;254;705;41;-8505
847;1,44E+16;649;207;9573
848;66;934;0;-4019
849;7;8,74E+15;55;-2676
850;166;7,66E+15;68;-9788
851;0;861;139;6707
852;139;81;51;-8014
853;17;8,01E+15;29;-9647
854;3;951;19;-2458
857;131;685;184;91
858;141;799;59;-91
859;201;754;45;-9386
860;199;743;58;-9985
861;38;848;115;721
862;0;6,56E+15;344;9017
863;254;645;101;-9954
866;99;851;5;-6467
867;73;84;86;9015
868;6;755;185;8297
869;86;8,91E+15;22;-6808
870;227;6,92E+15;81;-9871
871;64;7,76E+15;16;9976
872;117;773;11;-7647
873;119;8,49E+15;32;-9399
874;264;736;0;-7269
875;173;8;2,70E+16;-9178
876;231;7,07E+15;62;-9264
877;7,40E+15;88;46;-7956
878;107;7,34E+15;159;7804
879;7,20E+15;809;119;4684
880;134;7,88E+15;79;-9526
881;46;76;195;9657
882;132;74;128;-2025
883;97;802;1;6411
884;85;7,98E+15;118;9
885;68;845;87;5162
886;38;938;25;-4247
887;183;757;6;-8735
888;14;755;105;-8639
889;1,86E+16;6,92E+15;122;-8103
890;93;825;8,20E+15;-2732
893;84;7,76E+15;139;9751
896;7,20E+15;8;127;9502
899;119;662;218;7562
900;308;617;75;-9911
901;199;636;1,64E+16;-8903
902;241;667;92;-9314
903;2,16E+16;7,02E+15;8,20E+15;-7833
904;134;6,83E+15;183;9887
907;152;7,81E+15;67;-8819
908;159;6,41E+15;2;6199
909;1,43E+16;778;79;-9446
910;227;691;8,20E+15;-924
913;0;8,76E+15;124;7936
914;8,20E+15;8,37E+15;8;-8246
915;87;7,14E+15;199;9715
916;156;767;77;-9163
917;175;701;124;-1513
918;0;10;0;0
919;1,76E+16;752;71;-8245
920;147;767;86;-9802
921;151;66;189;8232
922;108;7,91E+15;101;182
923;0;8,64E+15;136;6249
924;0;853;147;6322
925;308;584;108;-9807
926;8,90E+15;843;68;129
927;181;715;103;-958
928;22;737;44;-987
929;119;794;87;-83
930;105;7,39E+15;156;9094
931;42;887;71;7068
932;34;8,39E+15;127;7177
